X,Y,Z,X,Y,Z,cellset name,part name,Part Type,Threshold name
2334.871,-404.314,387.6073,2477.271,59.87566,524.1966,Cell Set BEC,AIR,Region,Air Volume BEC
2439.271,198.9978,402.0706,2477.271,454.0018,533.8811,Cell Set BECM,AIR,Region,Air Volume BECM
2398.271,48.77506,407.2906,2477.271,209.0348,537.3605,Cell Set pDCDC,AIR,Region,Air Volume pDCDC
2592.098,-527.501,407.2984,2727.978,-490.92,531.4198,Cell Set BPSM01,AIR,Region,Air Volume BPSM01
2986.078,-527.501,407.297,3121.958,-490.92,531.4198,Cell Set BPSM02,AIR,Region,Air Volume BPSM02
3425.238,-527.501,407.297,3561.118,-490.92,531.4198,Cell Set BPSM03,AIR,Region,Air Volume BPSM03
3450.34,470.9198,553.5845,3586.22,507.4998,677.7057,Cell Set BPSM04,AIR,Region,Air Volume BPSM04
3011.18,470.9198,553.5845,3147.06,507.4998,677.7057,Cell Set BPSM05,AIR,Region,Air Volume BPSM05
2986.078,-527.501,553.5845,3121.958,-490.92,677.7057,Cell Set BPSM06,AIR,Region,Air Volume BPSM06
3425.238,-527.501,553.5845,3561.118,-490.92,677.7057,Cell Set BPSM07,AIR,Region,Air Volume BPSM07
3450.34,470.9198,407.297,3586.22,507.4998,531.4198,Cell Set BPSM08,AIR,Region,Air Volume BPSM08
3011.18,470.9198,407.297,3147.06,507.4998,531.4198,Cell Set BPSM09,AIR,Region,Air Volume BPSM09
2617.07,470.9198,407.297,2752.95,507.4998,531.4198,Cell Set BPSM10,AIR,Region,Air Volume BPSM10
2517.801,-469.825,399.8555,2825.58,-44.9739,513.0445,Cell Set_ARY01_Cell,ARY_CELL_SI,Part,ARY01_Cell
2868.499,-469.825,399.8555,3264.74,-44.9739,513.0445,Cell Set_ARY02_Cell,ARY_CELL_SI,Part,ARY02_Cell
3307.659,-469.825,399.8555,3703.9,-44.9739,513.0445,Cell Set_ARY03_Cell,ARY_CELL_SI,Part,ARY03_Cell
3307.659,24.97526,546.143,3703.9,449.8261,659.332,Cell Set_ARY04_Cell,ARY_CELL_SI,Part,ARY04_Cell
2868.499,24.97526,546.143,3264.74,449.8261,659.332,Cell Set_ARY05_Cell,ARY_CELL_SI,Part,ARY05_Cell
2868.499,-469.825,546.143,3264.74,-44.9739,659.332,Cell Set_ARY06_Cell,ARY_CELL_SI,Part,ARY06_Cell
3307.659,-469.825,546.143,3703.9,-44.9739,659.332,Cell Set_ARY07_Cell,ARY_CELL_SI,Part,ARY07_Cell
3307.659,24.97526,399.8555,3703.9,449.8261,513.0445,Cell Set_ARY08_Cell,ARY_CELL_SI,Part,ARY08_Cell
2868.499,24.97526,399.8555,3264.74,449.8261,513.0445,Cell Set_ARY09_Cell,ARY_CELL_SI,Part,ARY09_Cell
2517.802,24.97526,399.8555,2825.58,449.8261,513.0445,Cell Set_ARY10_Cell,ARY_CELL_SI,Part,ARY10_Cell
